directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,target_zone_hit,total_score,wrist_angle,elbow_angle,shoulder_angle,hand_pos_x,hand_pos_y,hand_pos_z,wrist_movement_filename,elbow_movement_filename,shoulder_movement_filename
throwing_experiment/Exhibition Demo/S001,throwing_experiment,Exhibition Demo,1,1,1,1,26.30119,27.814,Black,10,0.00,0.00,0.00,0.08,1.66,2.77,wrist_movement_T001.csv,elbow_movement_T001.csv,shoulder_movement_T001.csv
throwing_experiment/Exhibition Demo/S001,throwing_experiment,Exhibition Demo,1,2,1,2,28.12538,29.28354,Red,30,0.00,0.00,0.00,0.11,1.68,2.68,wrist_movement_T002.csv,elbow_movement_T002.csv,shoulder_movement_T002.csv
throwing_experiment/Exhibition Demo/S001,throwing_experiment,Exhibition Demo,1,3,1,3,29.50626,30.59478,Yellow,55,0.00,0.00,0.00,0.12,1.67,2.70,wrist_movement_T003.csv,elbow_movement_T003.csv,shoulder_movement_T003.csv
throwing_experiment/Exhibition Demo/S001,throwing_experiment,Exhibition Demo,1,4,1,4,30.84017,31.73014,Blue,70,0.00,0.00,0.00,0.13,1.70,2.64,wrist_movement_T004.csv,elbow_movement_T004.csv,shoulder_movement_T004.csv
throwing_experiment/Exhibition Demo/S001,throwing_experiment,Exhibition Demo,1,5,1,5,31.89772,32.76185,Blue,85,0.00,0.00,0.00,0.11,1.67,2.68,wrist_movement_T005.csv,elbow_movement_T005.csv,shoulder_movement_T005.csv
throwing_experiment/Exhibition Demo/S001,throwing_experiment,Exhibition Demo,1,6,1,6,32.90573,33.75116,Red,105,0.00,0.00,0.00,0.08,1.66,2.69,wrist_movement_T006.csv,elbow_movement_T006.csv,shoulder_movement_T006.csv
throwing_experiment/Exhibition Demo/S001,throwing_experiment,Exhibition Demo,1,7,1,7,33.95204,34.87406,Yellow,130,0.00,0.00,0.00,0.14,1.65,2.61,wrist_movement_T007.csv,elbow_movement_T007.csv,shoulder_movement_T007.csv
throwing_experiment/Exhibition Demo/S001,throwing_experiment,Exhibition Demo,1,8,2,1,35.07356,36.23021,Yellow,25,0.00,0.00,0.00,0.04,1.66,2.66,wrist_movement_T008.csv,elbow_movement_T008.csv,shoulder_movement_T008.csv
throwing_experiment/Exhibition Demo/S001,throwing_experiment,Exhibition Demo,1,9,2,2,36.36401,37.1405,Blue,40,0.00,0.00,0.00,0.33,1.67,2.67,wrist_movement_T009.csv,elbow_movement_T009.csv,shoulder_movement_T009.csv
throwing_experiment/Exhibition Demo/S001,throwing_experiment,Exhibition Demo,1,10,2,3,37.363,38.98885,Yellow,65,0.00,0.00,0.00,0.27,1.65,2.68,wrist_movement_T010.csv,elbow_movement_T010.csv,shoulder_movement_T010.csv
throwing_experiment/Exhibition Demo/S001,throwing_experiment,Exhibition Demo,1,11,2,4,39.16553,39.89476,Yellow,90,0.00,0.00,0.00,-0.02,1.63,2.83,wrist_movement_T011.csv,elbow_movement_T011.csv,shoulder_movement_T011.csv
throwing_experiment/Exhibition Demo/S001,throwing_experiment,Exhibition Demo,1,12,2,5,40.16132,40.86098,Red,110,0.00,0.00,0.00,-0.32,1.62,2.80,wrist_movement_T012.csv,elbow_movement_T012.csv,shoulder_movement_T012.csv
throwing_experiment/Exhibition Demo/S001,throwing_experiment,Exhibition Demo,1,13,2,6,41.1943,42.139,Red,130,0.00,0.00,0.00,-0.01,1.66,2.80,wrist_movement_T013.csv,elbow_movement_T013.csv,shoulder_movement_T013.csv
throwing_experiment/Exhibition Demo/S001,throwing_experiment,Exhibition Demo,1,14,2,7,42.38235,43.08328,Red,150,0.00,0.00,0.00,0.29,1.65,2.77,wrist_movement_T014.csv,elbow_movement_T014.csv,shoulder_movement_T014.csv
throwing_experiment/Exhibition Demo/S001,throwing_experiment,Exhibition Demo,1,15,3,1,43.27246,44.77468,Black,10,0.00,0.00,0.00,0.13,1.68,0.74,wrist_movement_T015.csv,elbow_movement_T015.csv,shoulder_movement_T015.csv
throwing_experiment/Exhibition Demo/S001,throwing_experiment,Exhibition Demo,1,16,3,2,44.84504,45.93095,Red,30,0.00,0.00,0.00,0.12,1.66,0.78,wrist_movement_T016.csv,elbow_movement_T016.csv,shoulder_movement_T016.csv
throwing_experiment/Exhibition Demo/S001,throwing_experiment,Exhibition Demo,1,17,3,3,46.1086,47.13024,Yellow,55,0.00,0.00,0.00,0.09,1.65,0.81,wrist_movement_T017.csv,elbow_movement_T017.csv,shoulder_movement_T017.csv
throwing_experiment/Exhibition Demo/S001,throwing_experiment,Exhibition Demo,1,18,3,4,47.26075,48.35012,Blue,70,0.00,0.00,0.00,0.06,1.67,0.77,wrist_movement_T018.csv,elbow_movement_T018.csv,shoulder_movement_T018.csv
throwing_experiment/Exhibition Demo/S001,throwing_experiment,Exhibition Demo,1,19,3,5,48.47231,49.46125,Black,80,0.00,0.00,0.00,0.05,1.63,0.84,wrist_movement_T019.csv,elbow_movement_T019.csv,shoulder_movement_T019.csv
throwing_experiment/Exhibition Demo/S001,throwing_experiment,Exhibition Demo,1,20,3,6,49.78362,50.80752,Blue,95,0.00,0.00,0.00,0.04,1.65,0.83,wrist_movement_T020.csv,elbow_movement_T020.csv,shoulder_movement_T020.csv
throwing_experiment/Exhibition Demo/S001,throwing_experiment,Exhibition Demo,1,21,3,7,51.18563,52.56412,White,100,0.00,0.00,0.00,0.12,1.66,0.73,wrist_movement_T021.csv,elbow_movement_T021.csv,shoulder_movement_T021.csv
throwing_experiment/Exhibition Demo/S001,throwing_experiment,Exhibition Demo,1,22,4,1,52.83001,54.53135,Miss,0,0.00,0.00,0.00,0.03,1.59,0.81,wrist_movement_T022.csv,elbow_movement_T022.csv,shoulder_movement_T022.csv
throwing_experiment/Exhibition Demo/S001,throwing_experiment,Exhibition Demo,1,23,4,2,54.86417,56.51022,White,5,0.00,0.00,0.00,0.31,1.67,0.76,wrist_movement_T023.csv,elbow_movement_T023.csv,shoulder_movement_T023.csv
throwing_experiment/Exhibition Demo/S001,throwing_experiment,Exhibition Demo,1,24,4,3,56.75305,57.81945,Yellow,30,0.00,0.00,0.00,0.08,1.66,0.84,wrist_movement_T024.csv,elbow_movement_T024.csv,shoulder_movement_T024.csv
throwing_experiment/Exhibition Demo/S001,throwing_experiment,Exhibition Demo,1,25,4,4,57.99764,59.00791,Black,40,0.00,0.00,0.00,-0.06,1.71,0.80,wrist_movement_T025.csv,elbow_movement_T025.csv,shoulder_movement_T025.csv
throwing_experiment/Exhibition Demo/S001,throwing_experiment,Exhibition Demo,1,26,4,5,59.47424,60.77458,White,45,0.00,0.00,0.00,0.15,1.62,0.78,wrist_movement_T026.csv,elbow_movement_T026.csv,shoulder_movement_T026.csv
throwing_experiment/Exhibition Demo/S001,throwing_experiment,Exhibition Demo,1,27,4,6,61.15215,63.87416,Black,55,0.00,0.00,0.00,0.10,1.63,0.63,wrist_movement_T027.csv,elbow_movement_T027.csv,shoulder_movement_T027.csv
throwing_experiment/Exhibition Demo/S001,throwing_experiment,Exhibition Demo,1,28,4,7,64.09766,66.11998,Red,75,0.00,0.00,0.00,0.10,1.65,0.67,wrist_movement_T028.csv,elbow_movement_T028.csv,shoulder_movement_T028.csv
